0, 182, 45, 0, 690, demnost,
1, 300, 15, 0, 690, demnost,
2, 233, 54, 0, 690, demnost,
3, 367, 16, 0, 690, demnost,
4, 236, 62, 0, 783, deorstw,
5, 388, 24, 0, 783, deorstw,
6, 269, 62, 0, 954, acersty,
7, 476, 20, 0, 954, acersty,
8, 267, 66, 0, 954, acersty,
9, 520, 30, 0, 954, acersty,
10, 301, 77, 0, 1196, aeilnrt,
11, 563, 28, 0, 1196, aeilnrt,
12, 334, 95, 0, 1255, adeinst,
13, 611, 37, 0, 1255, adeinst,
14, 349, 109, 0, 1255, adeinst,
15, 644, 43, 0, 1255, adeinst,
16, 383, 109, 0, 1952, aeinrst,
17, 701, 41, 0, 1952, aeinrst,
18, 385, 130, 0, 1952, aeinrst,
19, 698, 56, 0, 1952, aeinrst,
20, 439, 131, 0, 1952, aeinrst,
21, 810, 47, 0, 1952, aeinrst,
22, 455, 128, 0, 1952, aeinrst,
23, 878, 51, 0, 1952, aeinrst,
24, 487, 132, 0, 1952, aeinrst,
25, 945, 52, 0, 1952, aeinrst,
26, 506, 130, 0, 1952, aeinrst,
27, 1004, 59, 0, 1952, aeinrst,
28, 508, 137, 0, 1952, aeinrst,
29, 999, 69, 0, 1952, aeinrst,
30, 519, 139, 0, 1952, aeinrst,
31, 1056, 66, 0, 1952, aeinrst,
32, 528, 142, 0, 1952, aeinrst,
33, 1069, 75, 0, 1952, aeinrst,
34, 553, 152, 0, 1952, aeinrst,
